occurrence_no,identified_name,identified_rank,accepted_name,early_interval,late_interval,max_ma,min_ma,lng,lat,cc,state,county
139295,Theropoda indet.,unranked clade,Theropoda,Hettangian,Sinemurian,201.3,190.8,-72.633331,41.566666,US,Connecticut,
139306,n. gen. Amygdalodon n. sp. patagonicus,species,Amygdalodon patagonicus,Pliensbachian,Early Toarcian,190.8,182,-69.51667,-43.966667,AR,Chubut,
139307,Camarasaurus grandis,species,Camarasaurus grandis,Kimmeridgian,Tithonian,157.3,145,-108.699989,39.068802,US,Colorado,Mesa
139308,Camarasaurus supremus,species,Camarasaurus supremus,Kimmeridgian,,157.3,152.1,-108.717499,39.111668,US,Colorado,Mesa
144308,Theropoda indet.,unranked clade,Theropoda,Puaroan,,148.5,145,174.71666,-37.383331,NZ,Waikato,
149592,n. gen. Creosaurus n. sp. atrox,species,Allosaurus fragilis,Kimmeridgian,Tithonian,157.3,145,-106.041,41.893101,US,Wyoming,Albany
149596,Creosaurus atrox,species,Allosaurus fragilis,Kimmeridgian,Tithonian,157.3,145,-106.389999,42.035831,US,Wyoming,Converse
149597,Allosaurus fragilis,species,Allosaurus fragilis,Kimmeridgian,Tithonian,157.3,145,-106.389999,42.035831,US,Wyoming,Converse
149598,Diplodocus sp.,genus,Diplodocus,Kimmeridgian,Tithonian,157.3,145,-106.389999,42.035831,US,Wyoming,Converse
149599,Stegosaurus sp.,genus,Stegosaurus,Kimmeridgian,Tithonian,157.3,145,-106.389999,42.035831,US,Wyoming,Converse
149600,Morosaurus grandis,species,Camarasaurus grandis,Kimmeridgian,Tithonian,157.3,145,-106.389999,42.035831,US,Wyoming,Converse
149601,Antrodemus valens,species,Allosaurus fragilis,Kimmeridgian,Tithonian,157.3,145,-106.389999,42.035831,US,Wyoming,Converse
149981,n. gen. Scutellosaurus n. sp. lawleri,species,Scutellosaurus lawleri,Sinemurian,Pliensbachian,199.3,182.7,-111.027779,35.679169,US,Arizona,Coconino
149982,Scutellosaurus lawleri,species,Scutellosaurus lawleri,Sinemurian,Pliensbachian,199.3,182.7,-111.073608,35.736668,US,Arizona,
150174,Massospondylus carinatus,species,Massospondylus carinatus,Hettangian,Sinemurian,201.3,190.8,28.623056,-28.509443,ZA,Free State,
150175,Massospondylus sp.,genus,Massospondylus,Hettangian,Sinemurian,201.3,190.8,28.623056,-28.509443,ZA,Free State,
150311,Apatosaurus n. sp. laticollis,species,Apatosaurus louisae,Kimmeridgian,Tithonian,157.3,145,-105.187332,39.653423,US,Colorado,Jefferson
150312,n. gen. Gigantosauropus n. sp. asturiensis,species,Dinosauria,Kimmeridgian,,157.3,152.1,-5.249015,43.498878,ES,Asturias,Gijón
150313,n. gen. Hispanosauropus n. sp. hauboldi,species,Hispanosauropus hauboldi,Kimmeridgian,,157.3,152.1,-5.076468,43.468056,ES,Asturias,Gijón
150314,Hispanosauropus hauboldi,species,Hispanosauropus hauboldi,Kimmeridgian,,157.3,152.1,-5.249015,43.498878,ES,Asturias,Gijón
150350,Diplodocus carnegii,species,Diplodocus carnegii,Kimmeridgian,Tithonian,157.3,145,-105.916199,42.152302,US,Wyoming,Albany
150849,Megalosaurus n. sp. wetherilli,species,Dilophosaurus wetherilli,Sinemurian,Pliensbachian,199.3,182.7,-110.32,36.145279,US,Arizona,Coconino
150850,Megalosaurus wetherilli,species,Dilophosaurus wetherilli,Sinemurian,Pliensbachian,199.3,182.7,-110.300003,36.099998,US,Arizona,Coconino
219971,Diplodocus longus,species,Diplodocus longus,Kimmeridgian,Tithonian,157.3,145,-106.048615,42.017776,US,Wyoming,Albany
219972,Morosaurus sp.,genus,Camarasaurus,Kimmeridgian,Tithonian,157.3,145,-106.048615,42.017776,US,Wyoming,Albany
219973,Stegosaurus stenops,species,Stegosaurus stenops,Kimmeridgian,Tithonian,157.3,145,-106.048615,42.017776,US,Wyoming,Albany
219974,Apatosaurus excelsus,species,Brontosaurus excelsus,Kimmeridgian,Tithonian,157.3,145,-106.048615,42.017776,US,Wyoming,Albany
219975,Creosaurus atrox,species,Allosaurus fragilis,Kimmeridgian,Tithonian,157.3,145,-106.048615,42.017776,US,Wyoming,Albany
219978,Diplodocidae indet.,unranked clade,Diplodocidae,Late Kimmeridgian,,155.7,150.8,-108.120003,43.380001,US,Wyoming,Hot Springs
219979,Apatosaurinae indet. informal,unranked clade,Apatosaurinae,Late Kimmeridgian,,155.7,150.8,-108.120003,43.380001,US,Wyoming,Hot Springs
219980,Camarasaurus lentus,species,Camarasaurus lentus,Late Kimmeridgian,,155.7,150.8,-108.120003,43.380001,US,Wyoming,Hot Springs
220033,Syntarsus rhodesiensis,species,Coelophysis rhodesiensis,Hettangian,Sinemurian,201.3,190.8,30.1,-16.216667,ZW,Matabeleland North,Nyamandhlovu
220038,Kotasaurus yamanpalliensis,species,Kotasaurus yamanpalliensis,Sinemurian,Pliensbachian,199.3,182.7,79.845581,19.106924,IN,Andhra Pradesh,
220055,Diplodocus sp.,genus,Diplodocus,Late Kimmeridgian,Tithonian,155.7,145,-108.199997,43.630001,US,Wyoming,Hot Spings
220056,Camarasaurus sp.,genus,Camarasaurus,Late Kimmeridgian,Tithonian,155.7,145,-108.199997,43.630001,US,Wyoming,Hot Spings
220057,Stegosaurus sp.,genus,Stegosaurus,Late Kimmeridgian,Tithonian,155.7,145,-108.199997,43.630001,US,Wyoming,Hot Spings
220058,Allosaurus sp.,genus,Allosaurus,Late Kimmeridgian,Tithonian,155.7,145,-108.199997,43.630001,US,Wyoming,Hot Spings
220059,Camptosaurus sp.,genus,Camptosaurus,Late Kimmeridgian,Tithonian,155.7,145,-108.199997,43.630001,US,Wyoming,Hot Spings
220060,Barosaurus sp.,genus,Barosaurus,Late Kimmeridgian,Tithonian,155.7,145,-108.199997,43.630001,US,Wyoming,Hot Spings
220162,Allosaurus sp.,genus,Allosaurus,Tithonian,,152.1,145,-109.205833,40.423611,US,Utah,Uintah
220163,Diplodocus sp.,genus,Diplodocus,Tithonian,,152.1,145,-109.205833,40.423611,US,Utah,Uintah
220164,Stegosaurus sp.,genus,Stegosaurus,Tithonian,,152.1,145,-109.205833,40.423611,US,Utah,Uintah
220165,Dryosaurus sp.,genus,Dryosaurus,Tithonian,,152.1,145,-109.205833,40.423611,US,Utah,Uintah
220166,Camptosaurus sp.,genus,Camptosaurus,Tithonian,,152.1,145,-109.205833,40.423611,US,Utah,Uintah
220199,Saurischia indet.,unranked clade,Saurischia,Kimmeridgian,Tithonian,157.3,145,-107.13279,35.197208,US,New Mexico,Bernalillo
220200,Allosauridae indet.,family,Allosauridae,Kimmeridgian,Tithonian,157.3,145,-107.13279,35.197208,US,New Mexico,Bernalillo
220201,Diplodocidae indet.,unranked clade,Diplodocidae,Kimmeridgian,Tithonian,157.3,145,-107.13279,35.197208,US,New Mexico,Bernalillo
225582,Diplodocus longus,species,Diplodocus longus,Early Tithonian,,150.8,145,-109.300552,40.441387,US,Utah,Uintah
225583,Apatosaurus sp.,genus,Apatosaurus,Early Tithonian,,150.8,145,-109.300552,40.441387,US,Utah,Uintah
225584,Camarasaurus sp.,genus,Camarasaurus,Early Tithonian,,150.8,145,-109.300552,40.441387,US,Utah,Uintah
225585,Stegosaurus sp.,genus,Stegosaurus,Early Tithonian,,150.8,145,-109.300552,40.441387,US,Utah,Uintah
256195,n. gen. Emausaurus n. sp. ernsti,species,Emausaurus ernsti,Toarcian,,182.7,174.1,13.05,54.133331,DE,Mecklenburg-Vorpommern,Röstock
256216,n. gen. Mamenchisaurus n. sp. constructus,species,Mamenchisaurus constructus,Kimmeridgian,Tithonian,157.3,145,104.516701,28.700001,CN,Sichuan,
259970,Dilophosaurus n. sp. sinensis,species,Dilophosaurus sinensis,Hettangian,Sinemurian,201.3,190.8,102.591942,24.671667,CN,Yunnan,Jinning
259971,Yunnanosaurus sp.,genus,Yunnanosaurus,Hettangian,Sinemurian,201.3,190.8,102.591942,24.671667,CN,Yunnan,Jinning
260017,Brachiosaurus n. sp. nougaredi,species,Sauropoda,Late Jurassic,,163.5,145,9.646162,28.083401,DZ,Illizi,
260020,Sauropoda indet.,unranked clade,Sauropoda,Early Oxfordian,Late Tithonian,161.2,145,9.05,28.446388,DZ,Illizi,
261839,n. gen. Segisaurus n. sp. halli,species,Segisaurus halli,Pliensbachian,Toarcian,190.8,174.1,-110.525002,36.780556,US,Arizona,Coconino
262342,Dinosauria indet.,unranked clade,Dinosauria,Middle Jurassic,Late Jurassic,174.1,145,6.264215,19.225529,NE,Agadez,
262346,Sauropoda indet.,unranked clade,Sauropoda,Late Jurassic,,163.5,145,8.425808,16.838205,NE,Agadez,
269492,cf. Scelidosaurus sp.,genus,Scelidosaurus,Rhaetian,Sinemurian,208.5,190.8,-2.916667,50.75,UK,England,
269536,Eubrontes sp.,genus,Eubrontes,Early Sinemurian,,196.5,189.6,2.033333,44.616669,FR,Lot,
280576,Ischyrosaurus n. sp. manseli,species,Neosauropoda,Early Tithonian,,150.8,145,-2.15,50.599998,UK,England,Dorset
280829,Iguanodon n. sp. prestwichii,species,Cumnoria prestwichii,Late Kimmeridgian,,155.7,150.8,-1.313611,51.735279,UK,England,Oxfordshire
280927,Cetiosaurus n. sp. humerocristatus,species,Duriatitan humerocristatus,Late Kimmeridgian,,155.7,150.8,-2.465735,50.592449,UK,England,Dorset
290468,Dinosauria indet.,unranked clade,Dinosauria,Sinemurian,Pliensbachian,199.3,182.7,-111.080833,35.759724,US,Arizona,Coconino
290480,Dinosauria indet.,unranked clade,Dinosauria,Sinemurian,Pliensbachian,199.3,182.7,-111.25,35.966667,US,Arizona,Coconino
290491,Dinosauria indet.,unranked clade,Dinosauria,Sinemurian,Pliensbachian,199.3,182.7,-111.25,35.966667,US,Arizona,Coconino
292785,Cetiosaurus oxoniensis,species,Cetiosaurus oxoniensis,Late Bajocian,,171.6,167.7,-0.666667,52.633331,UK,England,Leicestershire
292850,n. gen. Epidendrosaurus n. sp. ningchengensis,species,Epidendrosaurus ningchengensis,Early Callovian,,164.7,161.2,119.238609,41.316387,CN,Nei Mongol,
295292,Mamenchisaurus hochuanensis,species,Mamenchisaurus hochuanensis,Bathonian,Callovian,168.3,163.5,104.133301,28.8333,CN,Sichuan,Zhongxian
295293,n. gen. Xuanhanosaurus n. sp. qilixiaensis,species,Xuanhanosaurus qilixiaensis,Bajocian,,170.3,168.3,107.633331,31.416668,CN,Sichuan,
295296,Shunosaurus lii,species,Shunosaurus lii,Bathonian,Callovian,168.3,163.5,104.852501,29.411388,CN,Sichuan,Zigong
296427,Moyenisauropus sp.,genus,Anomoepus,Late Hettangian,,201.3,196.5,21.633333,50.933334,PL,Swietokrzyskie,
296444,n. gen. Dystrophaeus n. sp. viaemalae,species,Dystrophaeus viaemalae,Late Oxfordian,,161.2,155.7,-109.319168,38.122501,US,Utah,San Juan
296465,n. gen. Diplodocus n. sp. longus,species,Diplodocus longus,Late Kimmeridgian,Early Tithonian,155.7,145,-105.224701,38.539501,US,Colorado,Fremont
296498,n. gen. Stegosaurus n. sp. armatus,species,Stegosaurus,Late Kimmeridgian,Early Tithonian,155.7,145,-105.192596,39.675598,US,Colorado,Jefferson
297120,Poekilopleuron ? n. sp. valesdunensis,species,Dubreuillosaurus valesdunensis,Middle Bathonian,,167.7,164.7,0.4,49.416668,FR,Basse-Normandie,Calvados
297555,n. gen. Piatnitzkysaurus n. sp. floresi,species,Piatnitzkysaurus floresi,Middle Toarcian,,182,175.6,-69.163521,-43.416218,AR,Chubut,
297556,Patagosaurus fariasi,species,Patagosaurus fariasi,Middle Toarcian,,182,175.6,-69.163521,-43.416218,AR,Chubut,
297557,n. gen. Volkheimeria n. sp. chubutensis,species,Volkheimeria chubutensis,Middle Toarcian,,182,175.6,-69.163521,-43.416218,AR,Chubut,
297562,n. gen. Patagosaurus n. sp. fariasi,species,Patagosaurus fariasi,Middle Toarcian,,182,175.6,-69.187279,-43.358639,AR,Chubut,
297698,n. gen. Lesothosaurus n. sp. diagnosticus,species,Lesothosaurus diagnosticus,Hettangian,Sinemurian,201.3,190.8,27.25,-29.85,LS,Mafeteng,
297836,Lesothosaurus diagnosticus,species,Lesothosaurus diagnosticus,Hettangian,Sinemurian,201.3,190.8,27.75,-31.291668,LS,Quthing,
303971,Cetiosaurus sp.,genus,Cetiosaurus,Early Bathonian,,167.7,164.7,-1.8,51.985001,UK,England,North Gloucestershire
303972,Megalosaurus sp.,genus,Megalosaurus,Early Bathonian,,167.7,164.7,-1.8,51.985001,UK,England,North Gloucestershire
303974,Stegosauria ? indet.,unranked clade,Stegosauria,Early Bathonian,,167.7,164.7,-1.8,51.985001,UK,England,North Gloucestershire
303977,Ceratosauria indet.,suborder,Ceratosauria,Early Bathonian,,167.7,164.7,-1.8,51.985001,UK,England,North Gloucestershire
332576,Grallator sauclierensis,species,Grallator sauclierensis,Hettangian,,201.3,199.3,3.366667,43.983334,FR,Region Midi-Pyrenees,Aveyron Departement
332577,Grallator n. sp. sauclierensis,species,Grallator sauclierensis,Hettangian,,201.3,199.3,3.366667,43.983334,FR,Region Midi-Pyrenees,Aveyron Departement
332578,Grallator minusculus,species,Eubrontes minusculus,Hettangian,,201.3,199.3,3.366667,43.983334,FR,Region Midi-Pyrenees,Aveyron Departement
332579,Grallator variabilis,species,Grallator variabilis,Hettangian,,201.3,199.3,3.366667,43.983334,FR,Region Midi-Pyrenees,Aveyron Departement
343505,Stegosauria indet.,unranked clade,Stegosauria,Middle Oxfordian,,161.2,155.7,21.033333,51.5,PL,Swietokrzyskie,
343506,Theropoda indet.,unranked clade,Theropoda,Middle Oxfordian,,161.2,155.7,21.033333,51.5,PL,Swietokrzyskie,
343507,Coelophysoidea indet.,superfamily,Coelophysoidea,Sinemurian,,199.3,190.8,-5.716667,57.716667,UK,Scotland,
343510,Sauropoda indet.,unranked clade,Sauropoda,Bathonian,,168.3,166.1,-6.156389,57.59528,UK,Scotland,
366438,n. gen. Podokesaurus n. sp. holyokensis,species,Podokesaurus holyokensis,Hettangian,Sinemurian,201.3,190.8,-72.574997,42.255554,US,Massachusetts,Hampshire
367430,n. gen. Perijasaurus n. sp. lapaz,species,Perijasaurus lapaz,Late Toarcian,Early Aalenian,180.1,171.6,-73.057236,10.388768,CO,,
367589,n. gen. Vulcanodon n. sp. karibaensis,species,Vulcanodon karibaensis,Sinemurian,Pliensbachian,199.3,182.7,28.275,-16.808332,ZW,Mashonaland North,
367656,Massospondylus carinatus,species,Massospondylus carinatus,Early Jurassic,,201.3,174.1,30.1,-16.233334,ZW,Mashonaland West,
372354,Syntarsus n. sp. kayentakatae,species,Coelophysis kayentakatae,Sinemurian,Pliensbachian,199.3,182.7,-111.014168,35.694168,US,Arizona,Coconino
372355,Syntarsus kayentakatae,species,Coelophysis kayentakatae,Sinemurian,Pliensbachian,199.3,182.7,-111.014168,35.694168,US,Arizona,Coconino
372356,Syntarsus kayentakatae,species,Coelophysis kayentakatae,Sinemurian,Pliensbachian,199.3,182.7,-111.027779,35.679169,US,Arizona,Coconino
372429,Compsognathus n. sp. corallestris,species,Compsognathus longipes,Early Tithonian,,150.8,145,6.37315,43.705021,FR,Provence-Alpes-Côte d'Azur,Var
372542,n. gen. Barapasaurus n. sp. tagorei,species,Barapasaurus tagorei,Sinemurian,Pliensbachian,199.3,182.7,79.966667,18.85,IN,Maharashtra,Gadchiroli
372797,Theropoda indet.,unranked clade,Theropoda,Hettangian,Pliensbachian,201.3,182.7,56.5672,30.984501,IR,Kerman,
372798,Theropoda indet.,unranked clade,Theropoda,Hettangian,Pliensbachian,201.3,182.7,56.5672,30.984501,IR,Kerman,
372814,Ornithischia indet.,unranked clade,Ornithischia,Late Jurassic,,163.5,145,94.292503,51.736389,RU,Tuva,
372815,n. gen. Saldamosaurus n. sp. tuvensis,species,Stegosauria,Late Jurassic,,163.5,145,94.292503,51.736389,RU,Tuva,
372881,n. gen. Cathetosaurus n. sp. lewisi,species,Camarasaurus lewisi,Kimmeridgian,,157.3,152.1,-108.388,38.806,US,Colorado,Mesa
372889,Sauropoda indet.,unranked clade,Sauropoda,Kimmeridgian,,157.3,152.1,-108.388,38.806,US,Colorado,Mesa
372892,Massospondylus sp.,genus,Massospondylus,Hettangian,Sinemurian,201.3,190.8,28.917299,-19.8939,ZW,Matabeleland North,Nyamandhlovu
372893,Thecodontosaurus ? sp.,genus,Thecodontosaurus,Hettangian,Sinemurian,201.3,190.8,28.917299,-19.893801,ZW,Matabeleland North,Nyamandhlovu
379672,Piveteausaurus ? sp.,genus,Piveteausaurus,Late Callovian,Oxfordian,164.7,157.3,-0.0667,49.299999,FR,Basse-Normandie,Calvados
379673,Megalosauroidea indet.,superfamily,Megalosauroidea,Late Callovian,,164.7,161.2,0,49.3167,FR,Basse-Normandie,Calvados
379691,Camarasauridae indet.,family,Camarasauridae,Early Tithonian,,150.8,145,4.9667,48.4333,FR,Haute-Marne,
379968,Dryosaurus sp.,genus,Dryosaurus,Early Kimmeridgian,,155.7,150.8,-1.35,49.533298,FR,Normandie,Seine-Maritime
382123,Allosaurus sp.,genus,Allosaurus,Kimmeridgian,Tithonian,157.3,145,-107.133202,34.942299,US,New Mexico,Cibola
382134,Coelurosauria indet.,unranked clade,Coelurosauria,Early Bajocian,Early Bathonian,171.6,164.7,-97.803169,17.753895,MX,Oaxaca,Mixteca
382135,Sauropoda indet.,unranked clade,Sauropoda,Early Bajocian,Early Bathonian,171.6,164.7,-97.803169,17.753895,MX,Oaxaca,Mixteca
382136,aff. Allosaurus sp.,genus,Allosaurus,Kimmeridgian,Tithonian,157.3,145,-103.687775,43.430557,US,South Dakota,Fall River
382137,Camptosaurus ? sp.,genus,Camptosaurus,Kimmeridgian,Tithonian,157.3,145,-103.687775,43.430557,US,South Dakota,Fall River
382144,Theropoda indet.,unranked clade,Theropoda,Kimmeridgian,,157.3,152.1,-106.063614,41.916111,US,Wyoming,Carbon
382145,Anomoepus ? sp.,genus,Anomoepus,Kimmeridgian,,157.3,152.1,-106.063614,41.916111,US,Wyoming,Carbon
382146,Sauropoda indet.,unranked clade,Sauropoda,Kimmeridgian,,157.3,152.1,-106.063614,41.916111,US,Wyoming,Carbon
382151,Theropoda indet.,unranked clade,Theropoda,Sinemurian,Pliensbachian,199.3,182.7,-111.243332,36.101391,US,Arizona,Coconino
382152,cf. Eubrontes sp.,genus,Eubrontes,Sinemurian,Pliensbachian,199.3,182.7,-111.243332,36.101391,US,Arizona,Coconino
382153,Dilophosauripus sp.,genus,Dilophosauripus,Sinemurian,Pliensbachian,199.3,182.7,-111.243332,36.101391,US,Arizona,Coconino
382154,cf. Kayentapus sp.,genus,Kayentapus,Sinemurian,Pliensbachian,199.3,182.7,-111.243332,36.101391,US,Arizona,Coconino
382155,cf. Grallator sp.,genus,Grallator,Sinemurian,Pliensbachian,199.3,182.7,-111.243332,36.101391,US,Arizona,Coconino
382156,cf. Anchisauripus sp.,genus,Anchisauripus,Sinemurian,Pliensbachian,199.3,182.7,-111.243332,36.101391,US,Arizona,Coconino
382508,n. gen. Aragosaurus n. sp. ischiaticus,species,Aragosaurus ischiaticus,Kimmeridgian,Tithonian,157.3,145,-0.87934,40.661667,ES,Aragón,Teruel
384334,Mamenchisaurus n. sp. sinocanadorum,species,Mamenchisaurus sinocanadorum,Oxfordian,,163.5,157.3,90,44.5,CN,Xinjiang,
384369,Brontosaurus excelsus,species,Brontosaurus excelsus,Kimmeridgian,Tithonian,157.3,145,-108.728699,39.128502,US,Colorado,Mesa
384371,Ornithopsis n. sp. leedsii,species,Ornithopsis leedsii,Early Callovian,,164.7,161.2,-0.25,52.583302,UK,England,Cambridgeshire
384377,n. gen. Cryptosaurus n. sp. eumerus,species,Ankylosauria,Late Oxfordian,,161.2,155.7,-0.1333,52.1833,UK,England,Cambridgeshire
384453,Grallator sp.,genus,Grallator,Middle Bathonian,,167.7,164.7,-6.14,57.584167,UK,Scotland,
385024,Massospondylus browni,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,28.4167,-28.516701,ZA,Free State,Bethlehem
385088,Thecodontosaurus skirtopodus,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,28.2167,-28.616699,ZA,Free State,Fouriesburg
385100,Massospondylus ? n. sp. browni,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,27.1667,-30.616699,ZA,Eastern Cape,Herschel
385292,Thecodontosaurus n. sp. minor,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,28.366699,-31.0833,ZA,Eastern Cape,Maclear
385293,Massospondylus carinatus,species,Massospondylus carinatus,Pliensbachian,,190.8,182.7,27.450001,-29.200001,ZA,Free State,Ladybrand
385300,n. gen. Geranosaurus n. sp. atavus,species,Heterodontosauridae,Sinemurian,,199.3,190.8,27.85,-31.450001,ZA,Eastern Cape,Elliot
385605,n. gen. Gigantoscelus n. sp. molengraaffi,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,28.25,-23.833332,ZA,Limpopo,Waterberg
385608,Gryponyx n. sp. taylori,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,28.233334,-28.616667,ZA,Free State,Fouriesburg
385609,n. gen. Gryponyx n. sp. africanus,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,28.2167,-28.616699,ZA,Free State,Fouriesburg
385612,n. gen. Dromicosaurus n. sp. gracilis,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,25.5833,-26.1833,ZA,Free State,Bethlehem
385654,n. gen. Aetonyx n. sp. palustris,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,28.2167,-28.616699,ZA,Free State,Fouriesburg
385655,Massospondylus n. sp. harriesi,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,28.2167,-28.616699,ZA,Free State,Fouriesburg
385657,n. gen. Massospondylus n. sp. carinatus,species,Massospondylus carinatus,Hettangian,Sinemurian,201.3,190.8,29.166668,-28.516666,ZA,Free State,Harrismith
385658,n. gen. Pachyspondylus n. sp. orpenii,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,29.166668,-28.516666,ZA,Free State,Harrismith
385659,n. gen. Leptospondylus n. sp. capensis,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,29.166668,-28.516666,ZA,Free State,Harrismith
385674,n. gen. Gyposaurus n. sp. capensis,species,Prosauropoda,Pliensbachian,,190.8,182.7,27.450001,-29.200001,ZA,Free State,Ladybrand